latitude,longitude,Salinity,Time,UUID
65.08674,39.89966,20.3569,2020-09-26 23:01:21.964807168,bb7d6507-e04a-4403-9fb7-3baaa7c21df3
65.08718,39.899,22.2751,2020-09-26 23:01:36.998401024,c89b0c73-e67f-4fea-b0e1-f7fd0f674836
65.08762,39.89844,22.0676,2020-09-26 23:01:52.031994880,c7a881ed-69b4-4087-9665-be49260d055d
65.08808,39.89782,22.2598,2020-09-26 23:02:06.979207936,0fb1aaa8-8b58-406f-a067-5bcff0319548
65.08858,39.89722,23.1681,2020-09-26 23:02:22.012801792,9745f4f0-cb79-460f-bb8a-e742cc0ec5f9
65.08902,39.8966,23.8882,2020-09-26 23:02:36.960015104,097f06b5-ba37-41bb-8faa-9c290469af69
65.0895,39.89594,24.0149,2020-09-26 23:02:51.993608704,73b22830-c488-49e3-8517-af1a4ee2d5e1
65.08996,39.89528,23.847,2020-09-26 23:03:07.027202560,44ffbea2-3c21-499f-b6eb-ac4116e8d8cd
65.09042,39.89462,24.1168,2020-09-26 23:03:21.974415872,9dfb5cb7-b40e-4df8-93ad-98eb20717407
65.09092,39.89396,23.8241,2020-09-26 23:03:37.008009472,b58bafa6-861c-42fe-9d44-a16af15f2f54
65.0914,39.89328,23.8288,2020-09-26 23:03:52.041603328,b92d39e4-a9dc-4b1b-a06a-b62c2b31ab6e
65.0919,39.89266,23.9335,2020-09-26 23:04:06.988816640,7824e38d-b1d0-48b0-8433-ab8b4389be99
65.0924,39.8919,23.88,2020-09-26 23:04:22.022410240,e6948a26-1ca7-4914-856b-37d116b55d39
65.09292,39.89114,23.8188,2020-09-26 23:04:36.969583360,5f681e6e-85df-4ea7-8751-1ab1e513566f
65.09344,39.89044,23.9049,2020-09-26 23:04:52.003217408,c44da9ce-a0f1-4993-93a5-4b4d84930db1
65.09392,39.88978,22.9495,2020-09-26 23:05:07.036811008,fcd98f9b-d0ad-487a-9ed7-787406337a6a
65.0944,39.8891,20.6078,2020-09-26 23:05:21.983984128,a9f79f03-c330-47c9-be0c-1f6dc138a5a4
65.09492,39.88828,18.8917,2020-09-26 23:05:37.017618176,69c98109-1170-42ac-9135-f5f785083195
65.0954,39.88756,17.9689,2020-09-26 23:05:51.964791040,f321f939-ae13-492b-9cb9-645f9dcdb414
65.09592,39.88678,22.1353,2020-09-26 23:06:06.998384896,346d4687-a03a-47f6-a805-7fca0e4e55ac
65.09642,39.88608,22.3999,2020-09-26 23:06:22.032018944,c3edfae7-ee64-416c-8654-527e4cec86bc
65.09694,39.88528,22.4503,2020-09-26 23:06:36.979191808,6236a531-0fa7-4a40-b7b5-56d8bcebd92d
65.09742,39.8845,20.3901,2020-09-26 23:06:52.012785664,bc84e8b5-60dc-4511-8f3c-32945cbe95bc
65.09796,39.88376,22.4549,2020-09-26 23:07:06.959998976,f070dcb5-f6ea-438c-834d-2dcd868d319e
65.09844,39.883,22.3346,2020-09-26 23:07:21.993592576,77ed1e19-14a5-491a-91d0-85c321de7521
